,Unnamed: 0,VIVIENDA_REF_ID,SEG_REF_ID,LOC,CV12,CV13,CC4,CC5,CC6,CC7,CC9,CC10,CC11,CC12,AGLO,URP,CANTPERS,CANTHOG,CV951,CV94RA,CV952,MUNI,V0T,CV94,TIPOVIV,V4,CC8,V10,V5,V11,RADIO_REF_ID,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDEPTO,RC01
177927,177927,7405239,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,0,2,1,1,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177928,177928,7405240,235642,18105030,1,11,1,1,1,1,2,1,1,2,103,1,9,2,100,1800,1405,180036,10,0,1,1,2,2,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177929,177929,7405241,235642,18105030,4,13,1,1,1,1,2,1,1,2,103,1,9,2,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177930,177930,7405242,235642,18105030,4,11,1,1,1,1,2,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,1,2,1,4,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177931,177931,7405243,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,7,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177932,177932,7405244,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177933,177933,7405245,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,7,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177934,177934,7405246,235642,18105030,4,11,1,1,1,1,2,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177935,177935,7405247,235642,18105030,1,11,1,1,1,1,2,1,1,2,103,1,6,1,100,1800,1405,180036,10,0,1,1,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
177936,177936,7405248,235642,18105030,1,4,1,1,1,1,2,1,1,2,103,1,5,1,100,1800,1405,180036,10,0,1,0,2,1,2,1,26265,2455,01,212,01,5,105,18105,Mercedes                                          ,181050101
