,Unnamed: 0,VIVIENDA_REF_ID,SEGMENTO_REF_ID,VIVIENDA,MANZANA,CONDOCUP,VIVCOLECT,TIPOVIV,CANTHOGAR,PAREDES,TECHO,PISOS,ELECTRIC,AGUA,OBTAGUA,CMV60UNBI,CMV61HJEF,CMV29PEVI,CMV27ARPO,CMV79NCAJ,CMV16CTOS,CMV15TCAS,CMV14INOD,CMV13DINO,CMV23NBI,CMV2AHACI,CMV2BTIVI,CMV2CRETR,CMV2DEDES,CMV2ECASU,CMV08PERS,CMV05TALO,CMV24LOCO,PROVORIG,RADIO_REF_ID,SEGMENTO,FRACCION_REF_ID,RADIO,DEPTO_REF_ID,FRACCION,PROVIN_REF_ID,DEPTO,NOMBDEPTO,RC91
80642,80642,1907463,127565,1,007,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,1,0,0,1,0,0,5,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80643,80643,1907464,127565,2,007,1,10,2,1,2,4,3,3,3,1,4,100,1,0,430082,100,0,3,7,1,0,1,0,0,0,4,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80644,80644,1907465,127565,3,007,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,5,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80645,80645,1907466,127565,4,007,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,8,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80646,80646,1907467,127565,5,007,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,5,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80647,80647,1907468,127565,6,007,1,10,1,1,1,3,1,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,7,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80648,80648,1907469,127565,7,007,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,2,1,0,0,0,0,1,3,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80649,80649,1907470,127565,8,007,1,10,1,1,1,3,2,3,3,1,4,100,1,0,430082,100,2,3,7,1,0,0,1,0,0,8,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80650,80650,1907471,127565,9,007,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,6,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80651,80651,1907472,127565,10,007,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,1,1,0,0,0,0,7,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80652,80652,1907473,127565,11,007,1,10,1,1,1,1,1,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,10,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80653,80653,1907474,127565,12,007,1,10,1,1,1,3,2,1,1,1,4,100,1,0,430082,100,1,0,2,0,0,0,0,0,0,4,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80654,80654,1907475,127565,13,009,1,10,2,1,2,6,3,1,3,1,4,100,1,0,430082,100,0,3,7,0,0,0,0,0,0,7,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80655,80655,1907476,127565,14,009,1,10,1,1,1,3,1,1,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,6,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80656,80656,1907477,127565,15,009,1,10,1,1,1,3,3,3,3,1,4,100,1,0,430082,100,2,3,7,2,1,0,1,0,0,5,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80657,80657,1907478,127565,16,009,1,10,1,1,1,3,3,3,3,1,4,100,1,0,430082,100,2,3,7,0,0,0,0,0,0,4,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80658,80658,1907479,127565,17,009,1,10,1,1,1,6,3,1,3,1,4,100,1,0,430082,100,2,3,7,1,1,0,0,0,0,14,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80659,80659,1907480,127565,18,009,1,10,1,1,1,3,2,1,3,1,4,100,1,0,430082,100,2,3,7,1,0,0,1,0,0,5,6,3800,18,21293,3,2461,01,205,01,5,105,Mercedes                                          ,181050101
80660,80660,1907481,127566,1,008,1,10,1,1,1,4,2,1,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,3,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80661,80661,1907482,127566,2,008,1,10,1,1,1,4,2,1,1,1,4,100,1,0,430096,100,1,0,3,0,0,0,0,0,0,3,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80662,80662,1907483,127566,3,008,1,10,1,1,1,4,2,3,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,3,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
80663,80663,1907484,127566,4,008,1,10,1,2,1,4,2,3,3,1,4,100,1,0,430096,100,2,3,7,0,0,0,0,0,0,9,6,3800,18,21293,4,2461,01,205,01,5,105,Mercedes                                          ,181050101
