,Unnamed: 0,VIVIENDA_REF_ID,RADIO_REF_ID,TIPVV,V01,V02,V00,URP,INCALSERV,INMAT,MUNI,LOCAL,INCALCONS,TOTHOG,FRAC_REF_ID,IDRADIO,DPTO_REF_ID,IDFRAC,PROV_REF_ID,IDDPTO,DPTO,NOMDPTO,RC10
203994,203994,8364771,29442,1,1,4,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203995,203995,8364772,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203996,203996,8364773,29442,1,1,2,0,1,0,0,181050245,18105030,0,3,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203997,203997,8364774,29442,1,1,1,0,1,1,1,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203998,203998,8364775,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
203999,203999,8364776,29442,1,1,1,0,1,1,1,181050245,18105030,1,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204000,204000,8364777,29442,1,1,1,0,1,1,2,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204001,204001,8364778,29442,1,3,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204002,204002,8364779,29442,1,2,1,0,1,3,3,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204003,204003,8364780,29442,1,2,1,0,1,1,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204004,204004,8364781,29442,1,1,1,0,1,3,2,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204005,204005,8364782,29442,1,2,1,0,1,3,4,181050245,18105030,3,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204006,204006,8364783,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
204007,204007,8364784,29442,1,1,1,0,1,1,3,181050245,18105030,2,1,3096,01,206,01,5,105,18105,Mercedes                                          ,181050101
